# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 아파트 전월세 실거래 2026.03~05 전국, 원본 238,658건 집계
# 시도·시군구·전월세·전용면적대별 보증금/월세 중위값. 면적대 평은 전용면적 ㎡ 환산.
시도,시군구,전월세,전용면적대,거래건수,보증금중위(만원),월세중위(만원),건축년도중위
경기도,시흥시,월세,135㎡이상(40평~),5,5000,140,2002
경기도,시흥시,월세,40~60㎡(12~18평),550,2000,70,1998
경기도,시흥시,월세,40㎡미만(~12평),381,1000,31,2017
경기도,시흥시,월세,60~85㎡(18~26평),1152,13882,33,2022
경기도,시흥시,월세,85~135㎡(26~40평),42,5000,142,2017
경기도,시흥시,전세,135㎡이상(40평~),2,46500,0,2009
경기도,시흥시,전세,40~60㎡(12~18평),556,19000,0,1998
경기도,시흥시,전세,40㎡미만(~12평),82,10000,0,2002
경기도,시흥시,전세,60~85㎡(18~26평),767,33000,0,2017
경기도,시흥시,전세,85~135㎡(26~40평),82,36500,0,2010
경기도,안산시 단원구,월세,40~60㎡(12~18평),219,3000,85,2016
경기도,안산시 단원구,월세,40㎡미만(~12평),125,1000,50,1992
경기도,안산시 단원구,월세,60~85㎡(18~26평),161,4000,117,2006
경기도,안산시 단원구,월세,85~135㎡(26~40평),17,5000,150,2002
경기도,안산시 단원구,전세,135㎡이상(40평~),6,36500,0,1996
경기도,안산시 단원구,전세,40~60㎡(12~18평),325,25200,0,2005
경기도,안산시 단원구,전세,40㎡미만(~12평),83,12000,0,1991
경기도,안산시 단원구,전세,60~85㎡(18~26평),349,33000,0,2004
경기도,안산시 단원구,전세,85~135㎡(26~40평),33,42000,0,2001
경기도,안산시 상록구,월세,135㎡이상(40평~),7,3000,135,1993
경기도,안산시 상록구,월세,40~60㎡(12~18평),120,2000,65,1994
경기도,안산시 상록구,월세,40㎡미만(~12평),39,500,50,1992
경기도,안산시 상록구,월세,60~85㎡(18~26평),107,3000,90,1993
경기도,안산시 상록구,월세,85~135㎡(26~40평),14,5000,137,2005
경기도,안산시 상록구,전세,135㎡이상(40평~),17,32500,0,1994
경기도,안산시 상록구,전세,40~60㎡(12~18평),192,16650,0,1994
경기도,안산시 상록구,전세,40㎡미만(~12평),35,12000,0,1989
